text,label
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,1
No thanks! I don't like deals,1
No thanks. I love chaos!,1
"No thanks, I like paying full price",1
"No Thanks, I don't want official software at the best price.",1
Are you sure you want to cancel your subscription?,0
You¡¯re about to cancel your subscription. Please confirm.,0
"To confirm, you want to cancel your subscription, right?",0
Please confirm your cancellation request. You can always come back anytime.,0
Click below to cancel your subscription. Are you sure?,0
Please confirm that you¡¯d like to cancel your subscription.,0
Cancel,0
Are you sure you want to unsubscribe? You can always resubscribe later.,0
You¡¯re about to unsubscribe. Please confirm your decision.,0
"If you choose to cancel, you¡¯ll no longer receive updates. Are you sure?",0
Click here to cancel your subscription.,0
Your subscription has been successfully canceled.,0
You have unsubscribed from our service.,0
Your request to cancel has been processed.,0
Subscription cancellation completed.,0
You will no longer be charged for this service.,0
Your membership has been terminated as requested.,0
Unsubscribe request received.,0
Your account has been downgraded.,0
You have opted out of our subscription plan.,0
Cancellation confirmed.,0
Your subscription has been ended.,0
You will not be billed for the next cycle.,0
Your recurring payments have been stopped.,0
You have successfully opted out.,0
Subscription status: Canceled.,0
Your auto-renewal has been turned off.,0
The service has been deactivated.,0
Your cancellation has been recorded.,0
You are no longer subscribed to this service.,0
Subscription successfully ended.,0
Your access will expire at the end of the billing period.,0
Cancellation request processed.,0
Your subscription settings have been updated.,0
You have left the subscription program.,0
Unsubscription completed.,0
The subscription has been removed from your account.,0
Your premium access has been revoked.,0
Your billing has been stopped.,0
Your user account is no longer subscribed.,0
The service has been canceled per your request.,0
Membership has been deactivated.,0
No further charges will be made.,0
You have successfully left the program.,0
Subscription status: Terminated.,0
Your subscription cancellation is now effective.,0
You will no longer receive subscription benefits.,0
This subscription will not renew.,0
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",0
Your membership plan has been closed.,0
The account has been updated to reflect cancellation.,0
Your recurring subscription has ended.,0
You have chosen to stop your subscription.,0
You have exited the subscription service.,0
Cancellation has been finalized.,0
Your payment plan has been discontinued.,0
We have processed your unsubscribe request.,0
The subscription period has ended.,0
Your opt-out request has been acknowledged.,0
The cancellation process is complete.,0
Your account is no longer set to renew.,0
